EM_ID,Recency,Frequency,Monetary,F,R,M,RFM Score,Segment
31424327502,448,1,49,1,2,1,211,hibernating
31424790534,22,4,1126,3,5,5,535,potential loyalists
31424837850,461,1,69,1,2,2,212,hibernating
31424938580,88,3,1218,2,5,5,525,potential loyalists
31424947960,552,1,69,1,2,2,212,hibernating
31425455990,567,1,69,1,2,2,212,hibernating
31425964678,567,1,279,1,2,3,213,hibernating
31426276082,566,1,130,1,2,3,213,hibernating
31426589278,567,1,69,1,2,2,212,hibernating
31426736392,567,1,279,1,2,3,213,hibernating
31426831550,536,1,69,1,2,2,212,hibernating
31426913160,329,3,3667,2,3,5,325,about to sleep
31427063702,565,1,69,1,2,2,212,hibernating
31427114100,567,1,69,1,2,2,212,hibernating
31427453234,519,1,69,1,2,2,212,hibernating
31427522364,552,1,69,1,2,2,212,hibernating
31427722058,553,1,69,1,2,2,212,hibernating
31427868710,497,1,49,1,2,1,211,hibernating
31428064064,84,1,239,1,5,3,513,new customers
31428458968,469,1,199,1,2,3,213,hibernating
31428590078,566,1,69,1,2,2,212,hibernating
31428685048,88,3,837,2,5,5,525,potential loyalists
31428766658,561,1,69,1,2,2,212,hibernating
31428888674,469,1,199,1,2,3,213,hibernating
31428906204,561,1,69,1,2,2,212,hibernating
31428907484,172,2,968,2,4,5,425,potential loyalists
31428949722,566,1,69,1,2,2,212,hibernating
31429066094,560,1,69,1,2,2,212,hibernating
31429242012,560,1,69,1,2,2,212,hibernating
31429277902,566,1,69,1,2,2,212,hibernating
31429331336,566,1,69,1,2,2,212,hibernating
31429563034,547,1,69,1,2,2,212,hibernating
31430384090,155,1,59,1,4,2,412,promising
31430432838,251,2,348,2,3,4,324,about to sleep
31430625146,566,1,69,1,2,2,212,hibernating
31430685498,439,1,49,1,2,1,211,hibernating
31430894474,566,1,69,1,2,2,212,hibernating
31430897856,459,2,268,2,2,3,223,hibernating
31431244990,231,2,108,2,3,2,322,about to sleep
31431332572,334,1,309,1,3,4,314,about to sleep
31431417458,15,5,325,3,5,4,534,potential loyalists
31432009532,454,1,49,1,2,1,211,hibernating
31432104496,526,1,49,1,2,1,211,hibernating
31432339662,566,1,69,1,2,2,212,hibernating
31432340184,566,1,69,1,2,2,212,hibernating
31432379276,256,1,279,1,3,3,313,about to sleep
31432616852,202,4,1056,3,3,5,335,need attention
31432724018,561,1,69,1,2,2,212,hibernating
31433338906,553,1,69,1,2,2,212,hibernating
31433410650,566,1,69,1,2,2,212,hibernating
31433623050,478,1,49,1,2,1,211,hibernating
31433676370,566,1,69,1,2,2,212,hibernating
31433762598,417,3,907,2,2,5,225,hibernating
31434129196,460,1,279,1,2,3,213,hibernating
31434423212,258,1,678,1,3,4,314,about to sleep
31434491132,47,5,1015,3,5,5,535,potential loyalists
31434808426,34,2,108,2,5,2,522,potential loyalists
31434816070,90,2,418,2,5,4,524,potential loyalists
31435592760,559,1,49,1,2,1,211,hibernating
31435670680,566,1,69,1,2,2,212,hibernating
31436270354,250,2,328,2,3,4,324,about to sleep
31436289866,550,1,69,1,2,2,212,hibernating
31436403502,559,2,348,2,2,4,224,hibernating
31436629610,552,1,69,1,2,2,212,hibernating
31436651536,72,3,187,2,5,3,523,potential loyalists
31436882750,537,1,69,1,2,2,212,hibernating
31436918196,8,1,69,1,5,2,512,new customers
31436999918,84,3,187,2,5,3,523,potential loyalists
31437131094,405,1,199,1,2,3,213,hibernating
31437217126,138,4,886,3,4,5,435,potential loyalists
31437337740,564,1,69,1,2,2,212,hibernating
31437673768,518,1,69,1,2,2,212,hibernating
31437950162,537,1,69,1,2,2,212,hibernating
31438490506,490,1,69,1,2,2,212,hibernating
31438495378,565,1,69,1,2,2,212,hibernating
31438974152,224,1,59,1,3,2,312,about to sleep
31439115088,561,1,69,1,2,2,212,hibernating
31439202304,565,1,69,1,2,2,212,hibernating
31439468420,76,3,187,2,5,3,523,potential loyalists
31439599110,565,1,69,1,2,2,212,hibernating
31440153360,565,1,69,1,2,2,212,hibernating
31440190040,557,2,199,2,2,3,223,hibernating
31440202896,190,2,118,2,3,3,323,about to sleep
31440272646,112,3,167,2,4,3,423,potential loyalists
31440815860,329,2,598,2,3,4,324,about to sleep
